organism,contig_taxa
day0_DO_0_env_cell_control_000000714134,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000714523,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000716058,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000718059,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000718159,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000718582,SK_Bacteria
day0_DO_0_env_cell_control_000000719546,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000720233,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000721275,O_Synechococcales
day0_DO_0_env_cell_control_000000721572,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000722305,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000722790,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000725398,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000725773,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000727769,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000728337,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000729264,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000730392,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000730852,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000731781,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000732143,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000734259,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000735347,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000735549,SK_Bacteria
day0_DO_0_env_cell_control_000000735860,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000736701,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000737598,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000737832,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000737950,SK_Bacteria
day0_DO_0_env_cell_control_000000738330,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000741279,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000741726,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000742324,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000742404,SK_Bacteria
day0_DO_0_env_cell_control_000000742420,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000743144,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000743711,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000745816,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000745965,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000746344,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000746455,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000747581,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000747775,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000750025,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000751329,NR_cellular organisms
day0_DO_0_env_cell_control_000000751388,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000751706,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000752134,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000752231,P_Pseudomonadota
day0_DO_0_env_cell_control_000000757118,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000757584,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000757759,SK_Bacteria
day0_DO_0_env_cell_control_000000758587,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000758671,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000758955,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000759000,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000761942,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000762082,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000763289,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000763989,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000764533,SK_Bacteria
day0_DO_0_env_cell_control_000000765809,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000766274,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000767847,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000768117,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000768914,O_Synechococcales
day0_DO_0_env_cell_control_000000769288,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000769615,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000770281,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000770713,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000771761,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000772413,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000773768,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000774243,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000774831,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000774927,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000775832,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000776365,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000776953,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000777283,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000777734,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000777757,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000778049,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000779383,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000780221,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000780620,SK_Bacteria
day0_DO_0_env_cell_control_000000781495,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000782410,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000782724,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000782995,S_Synechococcus sp. BMK-MC-1
day0_DO_0_env_cell_control_000000784128,S_Synechococcus sp. RS9909
day0_DO_0_env_cell_control_000000784539,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000784916,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000785080,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000785395,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000785454,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000786028,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000786728,ST_Thiocystis violascens DSM 198
day0_DO_0_env_cell_control_000000787045,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000787418,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000788879,NR_Chlorobium/Pelodictyon group
day0_DO_0_env_cell_control_000000789160,O_Synechococcales
day0_DO_0_env_cell_control_000000791797,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000791839,NR_Chlorobium/Pelodictyon group
day0_DO_0_env_cell_control_000000791951,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000792327,NR_cellular organisms
day0_DO_0_env_cell_control_000000792916,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000795534,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000795713,S_Homo sapiens
day0_DO_0_env_cell_control_000000795939,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000796312,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000797355,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000797589,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000798130,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000798330,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000799070,P_Pseudomonadota
day0_DO_0_env_cell_control_000000799115,SK_Bacteria
day0_DO_0_env_cell_control_000000800198,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000801090,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000802718,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000804659,SK_Bacteria
day0_DO_0_env_cell_control_000000804754,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000805619,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000806029,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000806459,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000806973,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000807522,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000808099,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000809262,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000809912,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000810225,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000810622,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000811907,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000812298,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000812474,P_Pseudomonadota
day0_DO_0_env_cell_control_000000812546,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000813729,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000813959,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000814588,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000814872,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000816106,O_Rhodobacterales
day0_DO_0_env_cell_control_000000816272,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000816331,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000817152,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000818272,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000818577,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000819009,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000819636,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000821044,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000822135,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000822167,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000822350,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000822663,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000822665,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000822841,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000823237,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000824138,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000824560,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000824890,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000825432,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000825527,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000825696,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000826609,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000827928,NR_cellular organisms
day0_DO_0_env_cell_control_000000828391,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000829170,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000830112,O_Rhodobacterales
day0_DO_0_env_cell_control_000000830741,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000832644,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000832671,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000833500,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000834458,F_Chlorobiaceae
day0_DO_0_env_cell_control_000000834581,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000834660,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000834821,NR_unclassified Prosthecochloris
day0_DO_0_env_cell_control_000000835044,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000835111,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000835725,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000836007,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000836102,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000836435,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000836703,S_Aliarcobacter cibarius
day0_DO_0_env_cell_control_000000836871,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000837825,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000837911,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000838897,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000839235,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000839663,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000840164,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000840501,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000840593,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000840811,O_Synechococcales
day0_DO_0_env_cell_control_000000843164,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000843455,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000843691,SK_Bacteria
day0_DO_0_env_cell_control_000000843796,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000844551,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000845405,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000846428,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000846786,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000848662,O_Synechococcales
day0_DO_0_env_cell_control_000000849483,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000849770,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000851199,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000851735,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000852219,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000852569,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000854543,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000857607,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000858419,SK_Bacteria
day0_DO_0_env_cell_control_000000858790,O_Synechococcales
day0_DO_0_env_cell_control_000000859176,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000860331,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000861084,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000863205,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000864194,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000865375,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000866448,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000866482,NR_Chlorobium/Pelodictyon group
day0_DO_0_env_cell_control_000000867413,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000868462,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000868766,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000868808,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000869764,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000869972,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000872167,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000872305,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000872833,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000872959,ST_Thiocystis violascens DSM 198
day0_DO_0_env_cell_control_000000874012,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000874026,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000874212,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000874493,S_Cyanophage KBS-S-2A
day0_DO_0_env_cell_control_000000876518,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000876933,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000878633,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000879526,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000879857,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000880020,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000880782,O_Synechococcales
day0_DO_0_env_cell_control_000000881565,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000882193,O_Rhodobacterales
day0_DO_0_env_cell_control_000000885469,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000886135,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000886240,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000887064,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000887937,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000888108,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000889804,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000890521,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000891186,S_Aliarcobacter cibarius
day0_DO_0_env_cell_control_000000891382,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000891775,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000892800,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000893808,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000894067,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000894540,S_Synechococcus sp. CB0101
day0_DO_0_env_cell_control_000000894743,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000894910,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000895503,SK_Bacteria
day0_DO_0_env_cell_control_000000896551,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000896641,S_Desulfogranum marinum
day0_DO_0_env_cell_control_000000896888,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000897846,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000898484,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000899564,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000900682,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000906258,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000906698,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000907335,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000908007,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000908102,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000908127,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000909726,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000909767,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000910603,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000910835,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000911978,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000913859,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000914687,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000914734,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000917728,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000918346,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000918560,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000921374,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000923695,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000924143,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000924370,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000924413,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000926023,F_Chlorobiaceae
day0_DO_0_env_cell_control_000000926400,NR_Chlorobium/Pelodictyon group
day0_DO_0_env_cell_control_000000926465,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000926656,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000926695,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000926886,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000928186,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000928634,SK_Bacteria
day0_DO_0_env_cell_control_000000929092,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000929634,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000929977,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000930923,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000931306,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000932162,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000932478,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000932572,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000932968,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000933980,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000934382,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000935173,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000936011,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000937231,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000937472,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000938046,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000938188,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000939360,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000939677,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000939907,O_Rhodobacterales
day0_DO_0_env_cell_control_000000939916,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000942020,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000942068,SK_Bacteria
day0_DO_0_env_cell_control_000000942172,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000943674,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000945524,SK_Bacteria
day0_DO_0_env_cell_control_000000946107,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000946112,C_Alphaproteobacteria
day0_DO_0_env_cell_control_000000946659,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000946880,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000947210,C_Alphaproteobacteria
day0_DO_0_env_cell_control_000000947270,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000947492,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000947740,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000947877,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000949289,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000949879,S_Synechococcus sp. CBW1108
day0_DO_0_env_cell_control_000000950562,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000950577,SK_Bacteria
day0_DO_0_env_cell_control_000000951864,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000952721,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000952865,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000953504,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000954061,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000954993,SK_Bacteria
day0_DO_0_env_cell_control_000000955433,SK_Bacteria
day0_DO_0_env_cell_control_000000955657,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000956055,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000956113,SK_Bacteria
day0_DO_0_env_cell_control_000000956397,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000957661,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000957686,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000958057,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000958394,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000958985,S_Synechococcus sp. NB0720_010
day0_DO_0_env_cell_control_000000959477,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000959632,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000960369,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000960688,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000960968,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000961271,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000961827,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000964841,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000965557,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000966322,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000967040,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000967264,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000967343,G_Prosthecochloris
day0_DO_0_env_cell_control_000000967808,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000968454,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000970835,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000971159,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000971308,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000973297,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000973415,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000974316,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000975367,F_Roseobacteraceae
day0_DO_0_env_cell_control_000000975600,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000976513,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000977329,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000977688,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000978304,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000979138,S_Synechococcus sp. LA31
day0_DO_0_env_cell_control_000000979527,ST_Prosthecochloris aestuarii DSM 271
day0_DO_0_env_cell_control_000000980087,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000981155,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000981339,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000981645,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000984212,S_Synechococcus sp. WH 8101
